날짜,금액,거래처,카테고리
20240925,1500,버스이용,교통
20240925,15000,cgv,여가
20240925,9900,육앤샤,식비
20240926,1900,cu,"편의점, 마트"
20240926,24840,에이블리,쇼핑
20240926,1500,버스이용,교통
20240926,16100,배달의 민족,식비
20240927,5500,투썸플레이스,카페/간식
20240927,25000,롯데마트,"편의점, 마트"
20240928,2550,버스이용,교통
20240928,3200,세븐일레븐,"편의점, 마트"
20240928,21000,일백집,식비
20240928,2550,버스이용,교통
20240929,21900,배달의 민족,식비
20240929,3000,크라운pc방,여가
20240929,8000,크라운pc방,여가
20240930,1500,버스이용,교통
20240930,1500,버스이용,교통
20241001,2420,카카오바이크,교통
20241001,15000,다온푸드,식비
20241001,6500,세븐일레븐,"편의점, 마트"
20241002,7200,이비인후과,의료/건강
20241002,4200,우리약국,의료/건강
20241003,10800,메가커피,카페/간식
20241003,13000,미용실,기타
20241004,6100,cu,"편의점, 마트"
20241004,1020,카카오바이크,교통
20241004,3000,쥬시,카페/간식
20241005,70630,에이블리,쇼핑
20241005,1500,버스이용,교통
20241005,12100,스타벅스,카페/간식
20241006,15000,메가박스,카페/간식
20241006,6900,마라탕,식비
20241006,5000,노래방,여가
20241006,12900,대동서적,쇼핑
20241007,1500,버스이용,교통
20241007,1500,이마트24,"편의점, 마트"
20241008,2420,카카오바이크,교통
20241008,6800,서브웨이,식비
20241009,15900,카카오선물하기,쇼핑
20241009,9500,카바레식당,식비
20241009,17000,심쿵피어싱,기타
20241009,1500,버스이용,교통
20241009,5000,노래방,여가
20241010,2200,이마트24,"편의점, 마트"
20241011,24500,배달의 민족,식비
20241012,12900,ktx 이용,교통
20241012,33000,성심당,카페/간식
20241012,20000,두루치기전문,식비
20241012,6000,투드커피,카페/간식
20241012,14600,배달의 민족,식비
20241013,8900,롤링파스타,식비
20241013,12100,ktx 이용,교통
20241013,2800,버스이용,교통
20241014,1300,cu,"편의점, 마트"
20241015,1680,카카오바이크,교통
20241015,2200,세븐일레븐,"편의점, 마트"
20241016,20000,쿠팡,쇼핑
20241016,1100,apple,기타
20241016,6300,뚜레쥬르,카페/간식
20241017,3000,로얄pc,여가
20241017,5400,로얄 pc,여가
20241018,11000,배달의 민족,식비
20241019,8000,메가커피,카페/간식
20241019,50000,무신사,쇼핑
20241019,13000,롯데시네마,여가
20241020,950,카카오바이크,교통
20241020,5000,포토이즘,기타
20241020,32000,용용선생,식비
20241020,2000,아이센스리그,여가
20241020,3500,아이센스리그,여가
20241020,5500,레드버튼,여가
20241020,5000,레드버튼,여가
20241020,1500,버스이용,교통
20241021,4800,빽다방,카페/간식
20241021,2100,gs25,"편의점, 마트"
20241022,9800,두루정,식비
20241022,4000,메가커피,카페/간식
20241023,26700,동양솥밥,식비
20241023,3000,쥬시,카페/간식
20241024,4200,cu,"편의점, 마트"
20241024,1400,cu,"편의점, 마트"
20241024,1500,버스이용,교통
20241025,1500,버스이용,교통
20241025,10000,한싱우동,식비
20241025,9800,11번가,쇼핑
20241025,4300,좋은아침베이커리,카페/간식
